<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YNDX;60;20180312;110000;2465.0000000;2469.0000000;2445.0000000;2458.0000000;6693
YNDX;60;20180312;120000;2458.0000000;2465.5000000;2446.5000000;2455.5000000;4245
YNDX;60;20180312;130000;2455.0000000;2473.0000000;2455.0000000;2470.0000000;4251
YNDX;60;20180312;140000;2468.0000000;2478.5000000;2463.5000000;2476.0000000;3776
YNDX;60;20180312;150000;2475.0000000;2479.5000000;2468.5000000;2468.5000000;2762
YNDX;60;20180312;160000;2467.0000000;2486.0000000;2465.0000000;2480.5000000;10456
YNDX;60;20180312;170000;2480.5000000;2483.5000000;2439.5000000;2440.0000000;17412
YNDX;60;20180312;180000;2442.0000000;2462.0000000;2442.0000000;2452.0000000;3974
YNDX;60;20180312;190000;2453.5000000;2453.5000000;2440.5000000;2450.0000000;3946
YNDX;60;20180313;110000;2449.0000000;2471.0000000;2443.0000000;2469.0000000;4429
YNDX;60;20180313;120000;2467.0000000;2470.0000000;2459.0000000;2460.0000000;1466
YNDX;60;20180313;130000;2461.0000000;2472.0000000;2461.0000000;2468.5000000;5656
YNDX;60;20180313;140000;2466.5000000;2476.0000000;2465.5000000;2470.0000000;6485
YNDX;60;20180313;150000;2471.5000000;2475.0000000;2464.0000000;2468.0000000;2339
YNDX;60;20180313;160000;2466.0000000;2470.0000000;2453.0000000;2459.5000000;5300
YNDX;60;20180313;170000;2456.0000000;2464.5000000;2410.0000000;2421.0000000;19093
YNDX;60;20180313;180000;2422.0000000;2435.0000000;2403.0000000;2409.5000000;9916
YNDX;60;20180313;190000;2410.5000000;2418.0000000;2385.0000000;2415.0000000;12639
YNDX;60;20180314;110000;2424.5000000;2425.0000000;2394.0000000;2410.0000000;9437
YNDX;60;20180314;120000;2409.5000000;2424.5000000;2396.0000000;2424.0000000;7197
YNDX;60;20180314;130000;2424.0000000;2424.5000000;2410.5000000;2419.5000000;3101
YNDX;60;20180314;140000;2419.0000000;2424.5000000;2403.5000000;2409.0000000;2537
YNDX;60;20180314;150000;2411.5000000;2417.5000000;2407.0000000;2410.5000000;1783
YNDX;60;20180314;160000;2410.0000000;2421.0000000;2400.5000000;2402.0000000;1593
YNDX;60;20180314;170000;2403.5000000;2431.0000000;2400.5000000;2414.0000000;7394
YNDX;60;20180314;180000;2416.5000000;2439.0000000;2416.5000000;2431.5000000;4699
YNDX;60;20180314;190000;2432.0000000;2439.5000000;2429.0000000;2430.5000000;6527
YNDX;60;20180315;110000;2444.0000000;2464.0000000;2444.0000000;2454.0000000;5880
YNDX;60;20180315;120000;2455.5000000;2459.5000000;2447.5000000;2452.5000000;3928
YNDX;60;20180315;130000;2456.0000000;2466.0000000;2453.5000000;2462.0000000;3733
YNDX;60;20180315;140000;2463.0000000;2469.0000000;2459.5000000;2463.5000000;3734
YNDX;60;20180315;150000;2463.5000000;2467.5000000;2450.5000000;2450.5000000;7951
YNDX;60;20180315;160000;2450.5000000;2452.5000000;2420.0000000;2421.0000000;23815
YNDX;60;20180315;170000;2421.0000000;2455.5000000;2415.5000000;2443.0000000;11247
YNDX;60;20180315;180000;2444.0000000;2450.0000000;2417.0000000;2432.0000000;14002
