<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YNDX;60;20211207;080000;5080.0000000;5121.8000000;5062.4000000;5070.0000000;9371
YNDX;60;20211207;090000;5073.0000000;5116.8000000;5073.0000000;5095.0000000;6581
YNDX;60;20211207;100000;5095.0000000;5119.8000000;5087.8000000;5116.0000000;6989
YNDX;60;20211207;110000;5115.0000000;5138.8000000;5042.0000000;5079.4000000;83956
YNDX;60;20211207;120000;5080.0000000;5155.4000000;5072.6000000;5143.0000000;85385
YNDX;60;20211207;130000;5148.4000000;5157.8000000;5132.8000000;5143.4000000;25557
YNDX;60;20211207;140000;5146.0000000;5155.0000000;5132.4000000;5151.6000000;40934
YNDX;60;20211207;150000;5151.6000000;5178.0000000;5147.6000000;5169.0000000;39345
YNDX;60;20211207;160000;5168.8000000;5173.2000000;5140.8000000;5164.6000000;64260
YNDX;60;20211207;170000;5165.2000000;5165.4000000;5123.4000000;5123.6000000;46467
YNDX;60;20211207;180000;5123.8000000;5142.2000000;5050.8000000;5076.2000000;155643
YNDX;60;20211207;190000;5077.8000000;5108.8000000;5050.2000000;5106.0000000;200925
YNDX;60;20211207;200000;5107.0000000;5110.0000000;5070.2000000;5076.0000000;45773
YNDX;60;20211207;210000;5073.0000000;5084.8000000;5070.0000000;5072.0000000;22240
YNDX;60;20211207;220000;5071.8000000;5073.8000000;5052.2000000;5069.8000000;21250
YNDX;60;20211207;230000;5071.8000000;5094.0000000;5040.0000000;5040.4000000;61243
YNDX;60;20211208;000000;5042.0000000;5044.8000000;4983.2000000;4992.0000000;62880
YNDX;60;20211208;080000;5016.0000000;5028.0000000;4997.2000000;5011.6000000;6890
YNDX;60;20211208;090000;5011.6000000;5027.0000000;4960.0000000;5022.0000000;19719
YNDX;60;20211208;100000;5022.0000000;5043.8000000;5004.8000000;5032.8000000;10989
YNDX;60;20211208;110000;5036.8000000;5053.8000000;5004.8000000;5040.0000000;54196
YNDX;60;20211208;120000;5036.4000000;5071.2000000;5032.0000000;5066.2000000;48589
YNDX;60;20211208;130000;5065.0000000;5070.0000000;5030.2000000;5058.8000000;83483
YNDX;60;20211208;140000;5058.8000000;5059.6000000;5018.0000000;5024.6000000;38417
YNDX;60;20211208;150000;5027.8000000;5047.0000000;5004.8000000;5024.4000000;69687
YNDX;60;20211208;160000;5024.4000000;5033.2000000;5002.2000000;5010.0000000;43888
YNDX;60;20211208;170000;5010.0000000;5013.0000000;4975.0000000;4996.0000000;71329
YNDX;60;20211208;180000;4996.0000000;4996.0000000;4775.0000000;4830.8000000;345684
YNDX;60;20211208;190000;4833.0000000;4895.0000000;4820.0000000;4869.8000000;137393
YNDX;60;20211208;200000;4927.2000000;4995.0000000;4908.2000000;4981.8000000;60819
YNDX;60;20211208;210000;4984.0000000;4985.0000000;4945.0000000;4957.8000000;17325
YNDX;60;20211208;220000;4957.8000000;4970.8000000;4941.4000000;4944.8000000;12985
YNDX;60;20211208;230000;4945.6000000;4952.2000000;4922.8000000;4938.2000000;13415
YNDX;60;20211209;000000;4936.8000000;4938.4000000;4923.2000000;4928.2000000;4432
