<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YNDX;30;20211207;073000;5080.0000000;5099.8000000;5062.4000000;5082.6000000;2037
YNDX;30;20211207;080000;5082.6000000;5121.8000000;5070.0000000;5070.0000000;7334
YNDX;30;20211207;083000;5073.0000000;5116.8000000;5073.0000000;5099.8000000;3286
YNDX;30;20211207;090000;5099.8000000;5099.8000000;5085.0000000;5095.0000000;3295
YNDX;30;20211207;093000;5095.0000000;5117.8000000;5087.8000000;5115.4000000;2954
YNDX;30;20211207;100000;5115.2000000;5119.8000000;5109.2000000;5116.0000000;4035
YNDX;30;20211207;103000;5115.0000000;5138.8000000;5092.8000000;5109.0000000;34474
YNDX;30;20211207;110000;5109.0000000;5116.4000000;5042.0000000;5079.4000000;49482
YNDX;30;20211207;113000;5080.0000000;5126.4000000;5072.6000000;5122.4000000;53680
YNDX;30;20211207;120000;5121.0000000;5155.4000000;5117.2000000;5143.0000000;31705
YNDX;30;20211207;123000;5148.4000000;5152.0000000;5132.8000000;5142.0000000;12110
YNDX;30;20211207;130000;5144.4000000;5157.8000000;5133.6000000;5143.4000000;13447
YNDX;30;20211207;133000;5146.0000000;5148.0000000;5132.4000000;5140.0000000;11814
YNDX;30;20211207;140000;5142.0000000;5155.0000000;5142.0000000;5151.6000000;29120
YNDX;30;20211207;143000;5151.6000000;5159.0000000;5147.6000000;5156.2000000;10156
YNDX;30;20211207;150000;5156.0000000;5178.0000000;5152.0000000;5169.0000000;29189
YNDX;30;20211207;153000;5168.8000000;5169.6000000;5150.4000000;5153.6000000;22790
YNDX;30;20211207;160000;5155.6000000;5173.2000000;5140.8000000;5164.6000000;41470
YNDX;30;20211207;163000;5165.2000000;5165.4000000;5135.0000000;5138.6000000;24934
YNDX;30;20211207;170000;5140.4000000;5164.0000000;5123.4000000;5123.6000000;21533
YNDX;30;20211207;173000;5123.8000000;5126.0000000;5088.2000000;5101.6000000;41826
YNDX;30;20211207;180000;5101.6000000;5142.2000000;5050.8000000;5076.2000000;113817
YNDX;30;20211207;183000;5077.8000000;5096.8000000;5050.2000000;5090.0000000;118619
YNDX;30;20211207;190000;5090.0000000;5108.8000000;5082.2000000;5106.0000000;82306
YNDX;30;20211207;193000;5107.0000000;5110.0000000;5081.0000000;5085.6000000;13866
YNDX;30;20211207;200000;5089.2000000;5098.8000000;5070.2000000;5076.0000000;31907
YNDX;30;20211207;203000;5073.0000000;5081.6000000;5070.0000000;5074.6000000;9619
YNDX;30;20211207;210000;5075.8000000;5084.8000000;5070.0000000;5072.0000000;12621
YNDX;30;20211207;213000;5071.8000000;5073.8000000;5052.2000000;5052.2000000;12335
YNDX;30;20211207;220000;5055.4000000;5069.8000000;5052.4000000;5069.8000000;8915
YNDX;30;20211207;223000;5071.8000000;5094.0000000;5059.4000000;5063.0000000;21862
YNDX;30;20211207;230000;5063.0000000;5065.0000000;5040.0000000;5040.4000000;39381
YNDX;30;20211207;233000;5042.0000000;5044.8000000;4993.2000000;5003.6000000;37771
YNDX;30;20211208;000000;5003.0000000;5017.4000000;4983.2000000;4992.0000000;25109
YNDX;30;20211208;073000;5016.0000000;5028.0000000;4997.2000000;5012.0000000;4013
YNDX;30;20211208;080000;5014.6000000;5014.8000000;5002.2000000;5011.6000000;2877
YNDX;30;20211208;083000;5011.6000000;5011.6000000;4981.0000000;4986.0000000;7519
YNDX;30;20211208;090000;4986.0000000;5027.0000000;4960.0000000;5022.0000000;12200
YNDX;30;20211208;093000;5022.0000000;5028.0000000;5004.8000000;5012.2000000;5037
YNDX;30;20211208;100000;5012.2000000;5043.8000000;5006.0000000;5032.8000000;5952
YNDX;30;20211208;103000;5036.8000000;5053.8000000;5011.4000000;5050.0000000;29993
YNDX;30;20211208;110000;5048.6000000;5050.8000000;5004.8000000;5040.0000000;24203
YNDX;30;20211208;113000;5036.4000000;5052.6000000;5032.0000000;5044.6000000;19370
YNDX;30;20211208;120000;5042.6000000;5071.2000000;5042.4000000;5066.2000000;29219
YNDX;30;20211208;123000;5065.0000000;5070.0000000;5033.4000000;5041.6000000;53455
YNDX;30;20211208;130000;5038.4000000;5065.8000000;5030.2000000;5058.8000000;30028
YNDX;30;20211208;133000;5058.8000000;5059.6000000;5045.0000000;5046.8000000;18310
YNDX;30;20211208;140000;5046.8000000;5049.0000000;5018.0000000;5024.6000000;20107
YNDX;30;20211208;143000;5027.8000000;5039.2000000;5004.8000000;5009.4000000;41306
YNDX;30;20211208;150000;5008.8000000;5047.0000000;5006.2000000;5024.4000000;28381
YNDX;30;20211208;153000;5024.4000000;5033.2000000;5002.2000000;5017.2000000;21974
YNDX;30;20211208;160000;5013.8000000;5019.8000000;5002.2000000;5010.0000000;21914
YNDX;30;20211208;163000;5010.0000000;5013.0000000;4975.0000000;5002.0000000;48390
YNDX;30;20211208;170000;4999.4000000;5009.4000000;4980.0000000;4996.0000000;22939
YNDX;30;20211208;173000;4996.0000000;4996.0000000;4910.2000000;4932.4000000;56962
YNDX;30;20211208;180000;4931.2000000;4931.2000000;4775.0000000;4830.8000000;288722
YNDX;30;20211208;183000;4833.0000000;4880.0000000;4820.0000000;4863.2000000;80002
YNDX;30;20211208;190000;4863.2000000;4895.0000000;4863.2000000;4869.8000000;57391
YNDX;30;20211208;193000;4927.2000000;4973.0000000;4908.2000000;4973.0000000;37973
YNDX;30;20211208;200000;4968.0000000;4995.0000000;4960.0000000;4981.8000000;22846
YNDX;30;20211208;203000;4984.0000000;4985.0000000;4945.0000000;4966.6000000;12907
YNDX;30;20211208;210000;4964.8000000;4973.6000000;4951.6000000;4957.8000000;4418
YNDX;30;20211208;213000;4957.8000000;4968.8000000;4952.0000000;4952.4000000;7270
YNDX;30;20211208;220000;4954.8000000;4970.8000000;4941.4000000;4944.8000000;5715
YNDX;30;20211208;223000;4945.6000000;4952.2000000;4923.4000000;4934.8000000;6954
YNDX;30;20211208;230000;4934.6000000;4940.0000000;4922.8000000;4938.2000000;6461
YNDX;30;20211208;233000;4936.8000000;4945.6000000;4923.2000000;4941.8000000;8409
YNDX;30;20211209;000000;4941.4000000;4941.8000000;4920.2000000;4932.2000000;3904
